id	onion_prebuilt	plumos_recipe	plumos_class	version_policy	onion_display_version	onion_corename	onion_binary_sha256	onion_binary_commit	onion_binary_date	onion_binary_subject	onion_builder_file	onion_builder_repo	onion_builder_ref	onion_builder_subdir	onion_builder_makefile	onion_builder_args	plumos_repo	plumos_ref	plumos_subdir	plumos_makefile	plumos_make_args
mednafen_vb	yes	yes	B	prefer_onion_version	v0.9.36.1	Beetle VB	f9ef7914b646d669cd0a5a6b3d03d03d18da4fbf3b53a82250a08a460cb79902	8a605d52462627ddd3349eb825f13aed9d8b70a9	2022-12-12T01:20:04+01:00	Core updates (#624)	cores-onionos	https://github.com/libretro/beetle-vb-libretro.git	master	-	Makefile	-	https://github.com/libretro/beetle-vb-libretro.git	162918f06d9a705330b2ba128e0d3b65fd1a1bcc	-	Makefile	platform=classic_armv7_a7
mednafen_wswan	yes	yes	A	prefer_onion_version	v0.9.35.1	Beetle WonderSwan	fffa9486f98f53d29c109f3f1965d45f0544f194a6dbd43899df8b57b0e043bf	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/beetle-wswan-libretro.git	master	-	Makefile	-	https://github.com/libretro/beetle-wswan-libretro.git	16d96f64a32cbe1fa89c40b142298dbd007f2f4d	-	Makefile	platform=classic_armv7_a7
meteor	yes	yes	O	prefer_onion_version	v1.4	Meteor	030dd5bf7c1483d399eb0ee2788ba3b3bf7f8a2b311a6a8bb7f4d349b6d6a583	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/meteor-libretro.git	master	libretro	Makefile	-	https://github.com/libretro/meteor-libretro.git	e533d300d0561564451bde55a2b73119c768453c	libretro	Makefile	platform=armv
mgba	yes	yes	A	prefer_onion_version	-	mGBA	74aa27c12ff677bb84eb265e03f686aec439f3ae8621511e61c7eb23bb9a170c	8a605d52462627ddd3349eb825f13aed9d8b70a9	2022-12-12T01:20:04+01:00	Core updates (#624)	cores-onionos	https://github.com/libretro/mgba.git	master	-	Makefile.libretro	-	https://github.com/libretro/mgba.git	4f70b313fcf82b043bee232dd5af231a7755e1d8	-	Makefile.libretro	platform=unix
mrboom	yes	yes	O	prefer_onion_version	3.1	Mr.Boom	ff9ee7b4f001babe246ca30e56406691d4980a47609f8fcd679145a8ee50404a	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/mrboom-libretro.git	master	-	Makefile	-	https://github.com/libretro/mrboom-libretro.git	1bc0933b71051411404cdc092b14ade17efb2027	-	Makefile	platform=classic_armv7_a7
mu	yes	yes	O	prefer_onion_version	v1.1.0	Mu	2bf955abc6000888121a3eda0b238ae2d87a39b6434f403a892c27394e8b45ea	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/Mu.git	master	libretroBuildSystem	Makefile	-	https://github.com/libretro/Mu.git	1361da04014d77b8bec13e050a71bf7bf8ce5543	libretroBuildSystem	Makefile	platform=armv
nekop2	yes	yes	O	prefer_onion_version	0.86	Neko Project II	4a33d3ed12c2af96df43a82a13c593f94d51121c83c50d325726d2fd9584ea46	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/libretro-meowPC98.git	master	libretro	Makefile.libretro	-	https://github.com/libretro/libretro-meowPC98.git	cd389b3490d5048873c40edd949a1b0631e0606d	libretro	Makefile.libretro	platform=unix-armv7-hardfloat-neon
neocd	yes	yes	A	prefer_onion_version	2019	NeoCD	46c8d20e05ea79837f9d53c5c84f882ed7b67efb0c5e0a9d183cba220ba10157	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/neocd_libretro.git	master	-	Makefile	-	https://github.com/libretro/neocd_libretro.git	b7d96e794f2dfa500cba46c78cbc3c28349cfd05	-	Makefile	platform=unix USE_LTO=0
nestopia	yes	yes	A	prefer_onion_version	v1.47-WIP	Nestopia	f012a7efd5e544efa1dc94ab0d32785036a2a0aabdc6cc72b002ec5d77f6dce7	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/nestopia.git	master	libretro	Makefile	-	https://github.com/libretro/nestopia.git	a9ee6ca84f04990e209880fe47144e62b14253db	libretro	Makefile	platform=classic_armv7_a7
np2kai	yes	yes	B	prefer_onion_version	0.86	Neko Project II Kai	2c11210a1e37d9c14b076d2f37386aaf7a74339cfd651047573c0a043a58c1b5	b6fe44d844589f72bea87264a64ae67458223d8a	2023-02-02T01:16:23+01:00	"Adding ""Neko Project II Kai"" (56535cd)"	cores-onionos	https://github.com/libretro/NP2kai.git	master	sdl	Makefile.libretro	-	https://github.com/libretro/NP2kai.git	23919257aa59ca33eaa97ccf76f4d89f16a0c7c5	sdl	Makefile.libretro	platform=rpi2 NP2KAI_VERSION=latest
numero	yes	yes	O	prefer_onion_version	v1.0	Numero	bdae7f114014abe0484da7c8e753cb64b6e693c9263655d544039c6a1d7484d2	f8b0375bb5a26e130e1950a959fb3b25deb80a9a	2023-04-03T04:11:33+02:00	Adding numero libretro core (19354c9)	cores-onionos	https://github.com/nbarkhina/numero.git	master	-	Makefile	-	https://github.com/nbarkhina/numero.git	19354c9bfe06a3e4fd936961ee8414b040a3d1c6	-	Makefile	platform=armv
nxengine	yes	yes	O	prefer_onion_version	1.0.0.6	NXEngine	04301632ef12c2b4e96a48606a52d06e532fb82a8bba94cdab490e4e804a1e9b	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/nxengine-libretro.git	master	-	Makefile	-	https://github.com/libretro/nxengine-libretro.git	aa32afb8df8461920037bdbbddbff00bf465c6de	-	Makefile	platform=armv
o2em	yes	yes	A	prefer_onion_version	1.18	O2EM	ef6576a559f9946773d552a8f3b0b5acb7733e41ec5ea090895a7e888b77d4e6	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/libretro-o2em.git	master	-	Makefile	-	https://github.com/libretro/libretro-o2em.git	3303cc15e4323280084471f694f6d34c78199725	-	Makefile	platform=classic_armv7_a7
opera	yes	yes	O	prefer_onion_version	1.0.0	Opera	c08bdc32d12c6a2c743cb7746eeed418a08049f145d4362469b2ba51acf020d8	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/opera-libretro.git	master	-	Makefile	-	https://github.com/libretro/opera-libretro.git	8a49bb8877611037438aeb857cb182f41ee0e3a1	-	Makefile	platform=armv
pcsx_rearmed	yes	yes	A	prefer_onion_version	r21	PCSX-ReARMed	c04586c281bb843f288d1e2215176a5f544d3db05396f1a20d9c6b84f31793f7	114109a5bbed156fda36e6392bcf78327d770ccb	2023-01-04T00:30:52+01:00	update pcsx	cores-onionos-special	https://github.com/libretro/pcsx_rearmed.git	master	-	Makefile.libretro	DYNAREC=ari64 HAVE_NEON=1 BUILTIN_GPU=neon	https://github.com/libretro/pcsx_rearmed.git	d26eaee5c8fb47c1832b8bf32c1358d625da8a02	-	Makefile.libretro	platform=armv7-hardfloat-neon DYNAREC=ari64 HAVE_NEON=1 BUILTIN_GPU=neon
picodrive	yes	yes	A	prefer_onion_version	1.91	PicoDrive	2752ea5687aeb61b5fa058a29a0d3750b41c1b13d7e6ed6f18504a434bddddc4	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/picodrive.git	master	-	Makefile.libretro	-	https://github.com/libretro/picodrive.git	13ceea4ceb5f1b3a7d56baf67ec55247c1dfd154	-	Makefile.libretro	platform=classic_armv7_a7
pokemini	yes	yes	A	prefer_onion_version	v0.60	PokeMini	7607f75f52656c97df2c4e56f0c342f6f66600998415d48eecf098328ed6421b	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/PokeMini.git	master	-	Makefile	-	https://github.com/libretro/PokeMini.git	9ba2c2d98bef98794095f3ef50e22f1a3cbc6166	-	Makefile	platform=classic_armv7_a7
potator	yes	yes	A	prefer_onion_version	1.0.5	Potator	f4177ea0aae9375be11e03f1bfdfce9893c7100944699a21ca009f04ebba3a9e	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	-	-	-	-	-	-	https://github.com/libretro/potator.git	06ec3b724b6fccda6805e3baa76c00c3bc024f23	platform/libretro	Makefile	platform=classic_armv7_a7
prboom	yes	yes	A	prefer_onion_version	v2.5.0	PrBoom	364e8c5c3560b54de9eebee7cd1c29dfe0395c10d5db152f653322e914ef42e2	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/libretro-prboom.git	master	-	Makefile	-	https://github.com/libretro/libretro-prboom.git	4e671fa0a4b7b892e17ac4e1803c9d627653a4c1	-	Makefile	platform=armv
prosystem	yes	yes	A	prefer_onion_version	1.3e	ProSystem	80567a2984d13c310bcbb3dffb66b3a9dd772baa95b5fcf8272681af1db4328b	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/prosystem-libretro.git	master	-	Makefile	-	https://github.com/libretro/prosystem-libretro.git	cf544d3c8e40ff197ea5bb177a1269db31077803	-	Makefile	platform=classic_armv7_a7
puae	yes	yes	O	prefer_onion_version	v4.9.1	PUAE	d32348d726e4371b7fdf63e686598269b97efa6bd8db79214e563b4ed02a163e	4624e0684383245e293855f7ef329487e946168b	2023-01-10T01:57:44+01:00	restoring puae	cores-onionos	https://github.com/libretro/libretro-uae.git	master	-	Makefile	-	https://github.com/libretro/libretro-uae.git	0b883572b3d67cdfa2ac4a05d0d22202b641d6d2	-	Makefile	platform=armv
puae2021	yes	no	-	missing_from_plumos	v2.6.1	PUAE 2021	b62b2e1529ed6506995bbbc0f0b9048648b38ce0a82fb67a2f2aaeff59c9d5b3	2bed8027e10e2df700982438e3cda737ba289f89	2022-11-09T23:21:33+01:00	Schmurtzm onion4.x cores updates (#603)	-	-	-	-	-	-	-	-	-	-	-
puzzlescript	yes	no	-	missing_from_plumos	-	puzzlescript	bcc75dbe9877ec4bad399ced4feef4297c10d10f2780368b240a02e63da989c7	13fc96b75695ac6941aed1c9b9fa2cc3b4374182	2023-12-17T01:01:49+00:00	Feat: new cores & core updates (#1322)	-	-	-	-	-	-	-	-	-	-	-
px68k	yes	yes	B	prefer_onion_version	0.15+	PX68k	54d0d787dce95a59bd4bb86cae195cd1c43405619c3421eff5ff944576c11fda	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/px68k-libretro.git	master	-	Makefile.libretro	-	https://github.com/libretro/px68k-libretro.git	e4f06ce6ee26e2ec8403b568d8c89921010c1464	-	Makefile.libretro	platform=armv
quasi88	yes	yes	B	prefer_onion_version	0.6.4	QUASI88	83153b9b01648e8222f5736779ce70bb691ae652560be8e16564ddb58095a522	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/quasi88-libretro.git	master	-	Makefile	-	https://github.com/libretro/quasi88-libretro.git	2548625ba2bc3b5a9ecae7db24fdd5d42570e578	-	Makefile	platform=armv
quicknes	no	yes	A	plumos_only_latest	Git	QuickNES	-	-	-	-	cores-onionos	https://github.com/libretro/QuickNES_Core.git	master	-	Makefile	-	https://github.com/libretro/QuickNES_Core.git	HEAD	-	Makefile	platform=classic_armv7_a7
reminiscence	yes	yes	O	prefer_onion_version	0.3.6	REminiscence	ad6c16a8513e01b0eb988280fed2dcbcb514eb20259b274406f6bb99fd809f81	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/REminiscence.git	master	-	Makefile	-	https://github.com/libretro/REminiscence.git	c2624c7565bbae441835db80f24902fc40f83dd1	-	Makefile	platform=armv
retro8	yes	yes	A	prefer_onion_version	Git	Retro8	1c02c4e2bdbe05b472ff2f65da49b4312bc97def48830615a8d3380e5014b83c	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	-	-	-	-	-	-	https://github.com/libretro/retro8.git	bc388ec7d217a08265d116aaa74afc0ca3f204f5	-	Makefile	platform=unix
sameduck	yes	no	-	missing_from_plumos	git	SameDuck	49b622ea9b19454244f61e1c60022a3a3c76296a1c85256e9d80a54e12889f36	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	-	-	-	-	-	-	-	-	-	-	-
scummvm	yes	yes	A	prefer_onion_version	2.7.0	ScummVM	dee2e1c6b5a76b3702651acbd9d13763c58dc77440d84fc755c003c3fb5d61d1	2bed8027e10e2df700982438e3cda737ba289f89	2022-11-09T23:21:33+01:00	Schmurtzm onion4.x cores updates (#603)	cores-onionos	https://github.com/libretro/scummvm.git	master	backends/platform/libretro/build	Makefile	-	https://github.com/libretro/scummvm.git	660e13b0764fe2be39b6d723345ecabfbb318cc5	-	Makefile	platform=armv
snes9x	yes	yes	A	prefer_onion_version	1.61	Snes9x	cc29502cedb70a39f4182777874ffe8d4e0c57ad2194bd9ee1a1c337a45d9bb2	43d7ab722a7a2136357e10be1e5ea3a542143768	2023-02-03T02:39:14+01:00	SNES cores updates	cores-onionos	https://github.com/libretro/snes9x.git	master	libretro	Makefile	-	https://github.com/libretro/snes9x.git	f6197644e871d05aa20bc443f2e94b647b1e53a9	libretro	Makefile	platform=armv LTO=
snes9x2002	yes	yes	O	prefer_onion_version	7.2.0	Snes9x 2002	0791ca6ad01d82ceedc88f338eaa382414bb3bc8eec927b5be8b4f05e06f93e3	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/snes9x2002.git	master	-	Makefile	-	https://github.com/libretro/snes9x2002.git	540baad622d9833bba7e0696193cb06f5f02f564	-	Makefile	platform=armv
snes9x2005	yes	yes	A	prefer_onion_version	v1.36	Snes9x 2005	3a9b2c88a5028eb544ef43c2f3a7b368ce5d65da82d0283c41b3c188e605e8f0	43d7ab722a7a2136357e10be1e5ea3a542143768	2023-02-03T02:39:14+01:00	SNES cores updates	cores-onionos	https://github.com/libretro/snes9x2005.git	master	-	Makefile	-	https://github.com/libretro/snes9x2005.git	fd45b0e055bce6cff3acde77414558784e93e7d0	-	Makefile	platform=armv7-hardfloat-neon HAVE_NEON=1 ARCH=arm BUILTIN_GPU=neon
snes9x2005_plus	yes	yes	O	prefer_onion_version	v1.36	Snes9x 2005 Plus	4d9af8745c736659e81e9d7a4a62eee4622d7896ff01cd2a45d0db6cfe6a95c6	43d7ab722a7a2136357e10be1e5ea3a542143768	2023-02-03T02:39:14+01:00	SNES cores updates	cores-onionos	https://github.com/libretro/snes9x2005.git	master	-	Makefile	USE_BLARGG_APU=1	https://github.com/libretro/snes9x2005.git	fd45b0e055bce6cff3acde77414558784e93e7d0	-	Makefile	platform=armv USE_BLARGG_APU=1
snes9x2010	yes	yes	O	prefer_onion_version	v1.52.4	Snes9x 2010	862ee31422bffd8a5579ae81486a576ec95f7c77c089f97b3490e5b476ba89c4	43d7ab722a7a2136357e10be1e5ea3a542143768	2023-02-03T02:39:14+01:00	SNES cores updates	cores-onionos	https://github.com/libretro/snes9x2010.git	master	-	Makefile.libretro	-	https://github.com/libretro/snes9x2010.git	e86e54624a7910a64a9a744e3734d4067c48d240	-	Makefile.libretro	platform=armv
squirreljme	yes	yes	O	prefer_onion_version	0.4.0	SquirrelJME	1c4693d1906ce813b082e85eab30f54caa46ede63d6b0199796a0ba6886beaa4	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/XerTheSquirrel/SquirrelJME.git	trunk	ratufacoat	makefilelibretro	-	https://github.com/XerTheSquirrel/SquirrelJME.git	0d8554644bdae671fef6a843ea136c3d567221e3	ratufacoat	makefilelibretro	platform=unix
stella2014	yes	yes	A	prefer_onion_version	3.9.3	Stella 2014	55bc9ecc69534ca6e3bae51131ebd217887827198929ebe431cfa64abdcb33bb	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/stella2014-libretro.git	master	-	Makefile	-	https://github.com/libretro/stella2014-libretro.git	1351a4fe2ca6b1f3a66c7db0df2ec268ab002d41	-	Makefile	platform=classic_armv7_a7
tgbdual	yes	yes	O	prefer_onion_version	v0.8.3	TGB Dual	931b12d3fb48677169441440217cbdf17a1773153ae1a032449557a33ab25f5d	d937d44f4beb4d682cf20ac50a062d6eab8c9880	2023-05-29T11:38:24+02:00	Dev v4.2.0 beta 3 (#835)	cores-onionos	https://github.com/libretro/tgbdual-libretro.git	master	-	Makefile	-	https://github.com/libretro/tgbdual-libretro.git	a6f3018e6a23030afc1873845ee54d4b2d8ec9d3	-	Makefile	platform=classic_armv7_a7
theodore	yes	yes	O	prefer_onion_version	Git	theodore	4155be0cc4784e90399c159ee2fb502f9da2d940f9db5970019e2a9ee5255f5a	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/Zlika/theodore.git	master	-	Makefile	-	https://github.com/Zlika/theodore.git	563fb989f12c7176824b34bbc726bf24d933e86c	-	Makefile	platform=armv
tic80	yes	yes	A	prefer_onion_version	0.80.0	TIC-80	71f491188538a38cb31bc7dad253d655ca3435155d6c2b28dc848d2f197acc8d	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/nesbox/TIC-80.git	master	builddir	Makefile	-DBUILD_PLAYER=OFF -DBUILD_SOKOL=OFF -DBUILD_SDL=OFF -DBUILD_DEMO_CARTS=OFF -DBUILD_LIBRETRO=ON	https://github.com/libretro/TIC-80.git	e7f48a30ea3e205810366aad910a2985edcd1f58	core	Makefile	cmake
tyrquake	yes	yes	O	prefer_onion_version	v0.62	TyrQuake	2ffb27bec4fefaf5f461ec826290deb93e42965ded4502fcf0063cbd2e16e074	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/tyrquake.git	master	-	Makefile	-	https://github.com/libretro/tyrquake.git	89f3e032757b9b56e8d62a528a4a2472e60631aa	-	Makefile	platform=armv
uae4arm	yes	no	-	missing_from_plumos	v0.5	UAE4ARM	0239969188d36a643653922db2fb28194ccf3a8f9e2f2bb2da761021eaddf3eb	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	-	-	-	-	-	-	-	-	-	-	-
uw8	yes	yes	O	prefer_onion_version	0.2.2	MicroW8	604a63f139032a79863425e6fc1d2d410f0d07e0c7bff57b788f8f9d832da323	3d09a9585a6fd654f33d7a127d4377d207c5de6a	2023-04-02T00:30:25+02:00	Adding uw8 libretro core v0.2.2 / MicroW8 (9bae6bd)	cores-onionos	https://github.com/libretro/uw8-libretro.git	main	-	Makefile	-	https://github.com/libretro/uw8-libretro.git	d7d60f5fc741d9bf22a5771f7de96a80c9fd6525	-	Makefile	platform=unix
uzem	yes	yes	O	prefer_onion_version	-	uzem	82c8535a0abe0ba4de88444bf50a7a5d72e649d3ad1f124028603a1a04792bbe	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/libretro-uzem.git	master	-	Makefile	-	https://github.com/libretro/libretro-uzem.git	08e39e19167727c89fb995e3fa70dde252e6aab0	-	Makefile	platform=unix-armv7-hardfloat-neon
vba_next	yes	yes	O	prefer_onion_version	SVN	VBA Next	588082a141e588d2a0d491a5bbda2e7216875e579681805e19596b9e2cc0fb19	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/vba-next.git	master	-	Makefile.libretro	-	https://github.com/libretro/vba-next.git	4191e09e2b0fcf175a15348c1fa8a12bbc6320dd	-	Makefile.libretro	platform=armv
vbam	yes	yes	O	prefer_onion_version	2.1.0	VBA-M	aa503eec35c21f406a5d67bf6a79531f77f42469571a2bdadb271de27402ebfa	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/vbam-libretro.git	master	src/libretro	Makefile	-	https://github.com/libretro/vbam-libretro.git	254f6effebe882b7d3d29d9e417c6aeeabc08026	src/libretro	Makefile	platform=armv
vecx	yes	yes	A	prefer_onion_version	SVN	vecx	4e29450ba3bfc915fb5d23ff53c370fabf8d87c4944a5ec189218dbde8b4540e	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/libretro-vecx.git	master	-	Makefile.libretro	-	https://github.com/libretro/libretro-vecx.git	b5c17bb7fd4a704f58160bc699322a16d0643396	-	Makefile.libretro	platform=armv HAS_GPU=0
vemulator	yes	yes	O	prefer_onion_version	0.1	VeMUlator	c9b79cd07f2978df6abc582945d4a4e01bcc884f0d795d3c36c545675c8d9859	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/vemulator-libretro.git	master	-	Makefile	-	https://github.com/libretro/vemulator-libretro.git	e3466f8c4682bdcc11d0d5fba316fefd580c65ef	-	Makefile	platform=armv
vice_x64	yes	yes	O	prefer_onion_version	3.5	VICE x64	f1205cabc0f9ea3750647132d8904814bb7abdb9383fbb8d9b4c9642608f442e	2bed8027e10e2df700982438e3cda737ba289f89	2022-11-09T23:21:33+01:00	Schmurtzm onion4.x cores updates (#603)	cores-onionos	https://github.com/libretro/vice-libretro.git	master	-	Makefile	-	https://github.com/libretro/vice-libretro.git	5a18264beed0c498e5fcd7e362c7bda9d65a5c2a	-	Makefile	platform=armv
vice_xvic	yes	yes	O	prefer_onion_version	3.5	VICE xvic	8180c9d23662ae2bddc5db8f8fd8939d41a6b581ccb16393d106936d075bb3fe	29293036a9eb3e059716be921ff5bcd9210c8369	2022-10-26T20:58:19+02:00	Emu config fixes - PSX requires cue files - FBNeo moved to verified - VIC20 added to verified - C64 moved to verified - Icon locations fixed - Box art paths fixed	cores-onionos	https://github.com/libretro/vice-libretro.git	master	-	Makefile	EMUTYPE=xvic	https://github.com/libretro/vice-libretro.git	5a18264beed0c498e5fcd7e362c7bda9d65a5c2a	-	Makefile	platform=armv EMUTYPE=xvic
virtualjaguar	yes	yes	O	prefer_onion_version	v2.1.0	Virtual Jaguar	1e196c1fc84b7aa1fb00f261463e0619241026c11093fcc9c7465c86ffb13525	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/virtualjaguar-libretro.git	master	-	Makefile	-	https://github.com/libretro/virtualjaguar-libretro.git	263c979be4ca757c43fb525bd6f0887998e57041	-	Makefile	platform=armv
x1	yes	yes	O	prefer_onion_version	0.60	x1	fb522bea33b9dc52a8ad4b3d89508e2332fe341ff0be2f956cea2cc39428eb18	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/xmil-libretro.git	master	libretro	Makefile.libretro	-	https://github.com/libretro/xmil-libretro.git	4cb1e4eaab37321904144d1f1a23b2830268e8df	libretro	Makefile.libretro	platform=crosspi
xrick	yes	yes	O	prefer_onion_version	1.0.0.6	XRick	0934ae013133b9f1572d3ae23f0cda882255c5c45d21d4d3e1ab25172097744b	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/xrick-libretro.git	master	-	Makefile	-	https://github.com/libretro/xrick-libretro.git	7ee449e12062ea8d7ca0c945c3a4b63ca0c04268	-	Makefile	platform=armv
